0.000000000000000000e+00,1.995922321396546018e+00,1.682159477620674692e-03,1.682159477620645202e-03,1.417735351451374764e-06
2.000000000000000111e-01,1.979446053229877656e+00,2.738769193918743749e-03,2.553750816500113645e-03,3.567025476306766944e-06
4.000000000000000222e-01,1.931980254574383160e+00,5.883636441693386974e-03,5.421308159609374878e-03,1.729492404160466089e-05
6.000000000000000888e-01,1.856326937083930595e+00,1.083524012884126177e-02,1.012594108816084436e-02,6.322500767060643785e-05
8.000000000000000444e-01,1.757347491508224557e+00,1.718927352629196978e-02,1.639156597090030490e-02,1.732804453499616555e-04
1.000000000000000000e+00,1.641340218080204139e+00,2.448840686540867256e-02,2.384748264402797996e-02,3.869230639437847919e-04
1.200000000000000178e+00,1.515076816912227953e+00,3.231277429300054987e-02,3.205842524062186422e-02,7.470162887838451221e-04
1.400000000000000133e+00,1.385063948994738281e+00,4.033525386369947452e-02,4.056676857716796925e-02,1.295929582091162949e-03
1.600000000000000089e+00,1.257137261302299747e+00,4.832363070654060316e-02,4.896699725882477927e-02,2.072888705598636538e-03
1.800000000000000044e+00,1.135073224479206555e+00,5.607794135425683141e-02,5.693857580925691664e-02,3.112070551561031424e-03
2.000000000000000000e+00,1.018917724522306889e+00,6.339785753947797808e-02,6.419072710506931734e-02,4.444796020978476758e-03
2.200000000000000178e+00,9.076155106351290192e-01,7.034950858574859356e-02,7.078282374166529334e-02,6.145677470569913328e-03
2.400000000000000355e+00,7.830506561938344046e-01,7.562079085629368203e-02,7.639426476488339612e-02,8.312395016024334837e-03
