0.000000000000000000e+00,1.953226438451219238e+00,2.324214213804842721e-02,2.324214213806339788e-02,1.723801344569195833e-04
2.000000000000000111e-01,1.949536116835738353e+00,2.484925737366888016e-02,2.444617018954705484e-02,2.072877812612599865e-04
4.000000000000000222e-01,1.937764105754451682e+00,2.959218435438040057e-02,2.844124198132128370e-02,3.321934538869913012e-04
6.000000000000000888e-01,1.917702276093621316e+00,3.751112267407757245e-02,3.523039261096077429e-02,5.975087144548210010e-04
8.000000000000000444e-01,1.889066822295541792e+00,4.867050646183757046e-02,4.483091405418394848e-02,1.088393825164814949e-03
1.000000000000000000e+00,1.851459288786406088e+00,6.324976876505936096e-02,5.724664933130687444e-02,1.933704761782118788e-03
1.200000000000000178e+00,1.804597401974185944e+00,8.126194705815434349e-02,7.248817197132012558e-02,3.307600357287397534e-03
1.400000000000000133e+00,1.747655316817972260e+00,1.030215003812035429e-01,9.071377326107525618e-02,5.480243123233449580e-03
1.600000000000000089e+00,1.680012534023907378e+00,1.290556056428561749e-01,1.117827634547367277e-01,8.820646309434750088e-03
1.800000000000000044e+00,1.600570474301770796e+00,1.590714220192344652e-01,1.359543091801980463e-01,1.389816700609257036e-02
2.000000000000000000e+00,1.506207765922764619e+00,1.935288484910153151e-01,1.635280901871495052e-01,2.167605696742289090e-02
2.200000000000000178e+00,1.394201761199740819e+00,2.321259597359945914e-01,1.959941316754449658e-01,3.376937460533987329e-02
2.400000000000000355e+00,1.256739739253838417e+00,2.755496159394888456e-01,2.308930994175711626e-01,5.363051029156484795e-02
