9.999999999999997780e-02,2.224395652016602831e+00,1.194132501580598138e+00
8.571428571428574283e-02,2.053668190559764462e+00,7.576958684299573976e-01
7.142857142857139685e-02,1.840592123539487757e+00,3.500732337860983368e-01
5.714285714285716189e-02,1.804979584079630328e+00,2.007002194356023728e-01
4.285714285714287142e-02,1.820459344139911728e+00,1.795549806020581285e-01
2.857142857142858094e-02,1.826747181202930781e+00,1.732536656947732956e-01
1.428571428571429047e-02,1.827867262795020986e+00,1.721326057067909809e-01
0.000000000000000000e+00,1.827553319173095936e+00,1.724469573918244458e-01
-1.428571428571429047e-02,1.828829978031168979e+00,1.711693388257771453e-01
-2.857142857142858094e-02,1.814224382589457951e+00,1.857762760036726080e-01
-4.285714285714287142e-02,1.814377819135990277e+00,1.856478269586557817e-01
-5.714285714285716189e-02,1.800267138639863207e+00,2.054755340890413173e-01
-7.142857142857139685e-02,1.844314414992383577e+00,3.447179374227162807e-01
-8.571428571428574283e-02,2.036547079278796524e+00,7.382094132554105625e-01
-9.999999999999997780e-02,2.224816413084818478e+00,1.140940398878406370e+00
